,Time,Distance,Commercial ,Industrial,Public_service,Residential 
1,1,1,215911.2095,167429.5257,1004323.595,1154411.17
1,1,1,375794.7106,45450.25395,368672.6101,1420326.127
1,1,1,392069.8078,33970.45141,328203.469,1474677.898
1,1,1,78197.75462,1434077.364,45627.14644,453192.5034
1,1,1,87644.39095,408869.6235,358733.3677,1440781.859
1,1,1,97449.29213,993401.6519,99825.69971,1293346.199
1,1,1,122529.4988,490022.2862,283295.5815,1126208.862
1,1,1,63434.18825,535149.3559,10187.113,535696.3907
1,1,1,220174.0001,50647.42347,279185.6331,1752555.655
1,1,1,205387.3453,159645.3472,516116.8837,1081547.959
1,1,1,52811.86812,66407.33055,374703.3772,1181612.871
1,1,1,442596.6489,123708.6483,65041.32453,1010391.274
1,1,1,97163.50686,59377.70428,490940.2197,1283452.366
1,1,1,330071.3322,132650.5201,376557.5605,1403070.233
1,1,1,309953.9243,99377.69864,418187.7289,1586876.6
1,1,1,142111.2622,22258.66478,2000372.603,889917.8844
1,1,1,33483.45225,288152.9871,68325.66175,1114112.594
1,1,1,426202.9693,37372.7294,260743.9388,1519430.545
1,1,1,52507.0943,893328.9362,92332.0954,1004777.26
1,1,1,75018.68787,111988.95,913884.7282,877550.7722
1,1,1,376767.9446,44750.51231,257048.4172,1010337.144
1,1,1,364669.8843,228257.5893,77693.20973,1057289.734
1,1,1,577789.9748,11689.16612,242985.6991,1370595.264
1,1,1,236404.3223,38109.52504,514579.3759,1599700.886
1,1,1,0,18284.98773,0,187358.4984
1,1,1,254279.2333,161983.3878,289931.7524,1032768.37
1,1,1,193767.0816,143582.7691,191753.4765,1286032.755
1,1,1,103371.01,14630.89451,80523.05643,1401496.58
1,1,1,27920.96418,993814.0023,3308.180202,440731.2233
1,1,1,334374.625,72789.78026,193622.0596,899027.3399
1,1,1,162921.4528,46385.78203,1330132.533,1024925.512
1,1,1,320297.5295,110168.9015,404302.4828,1285166.815
1,1,1,103539.2209,5545.381602,1444215.572,1052021.966
1,1,1,194755.3357,130134.05,312062.0341,1302688.505
1,1,1,274145.4927,51263.68673,632883.673,1378171.036
1,1,1,159720.756,7390.977878,301676.876,975945.3644
